Seq_No,Author,Review_Date,Review_URL,Product_Review,Product_Rating,Product_Version,Purchase_Address,BrndNo,GDNo
11,rrb018,5/16/2024 10:52,https://shopee.vn/shop/5823115,"Product Quality:Superb quality. I upgraded my amazfit gts mini 2
Performance:Great display and cool watch faces.
Best Feature:Larger screen and lightweight. Red button with different functions.

3 days delivery. 1500 worth of voucher discount got it at 5384. Plus free buds and huawei gift. There is also a 0% interest spaylater
https://cf.shopee.vn/file/ph-11134103-7r98p-lvd4esz7qlov7d
https://cf.shopee.vn/file/ph-11134103-7r98y-lvd4esz7s09be1
https://cf.shopee.vn/file/ph-11134103-7r98y-lvd4esz7tetr06
https://cf.shopee.vn/file/ph-11134103-7r98v-lvd4esz7ute724
https://cf.shopee.vn/file/ph-11134103-7r98q-lvd4esz7w7yn41
https://cf.shopee.vn/file/ph-11134103-7r98p-lvd4esz7qlov7d
https://cf.shopee.vn/file/ph-11134103-7r98y-lvd4esz7s09be1
https://cf.shopee.vn/file/ph-11134103-7r98y-lvd4esz7tetr06
https://cf.shopee.vn/file/ph-11134103-7r98v-lvd4esz7ute724
https://cf.shopee.vn/file/ph-11134103-7r98q-lvd4esz7w7yn41",5,Grey (Nylon Strap),ph,1,1
12,mildred2408,5/16/2024 13:29,https://shopee.vn/shop/290656091,"Product Quality:Sobrang premium
Performance:Great
Best Feature:Looks.. Sobrang ganda...

Sulit na sulit... Sobrang premium ng watch..
At andami freebies....
Eto na ang pinaka sulit na purchased ko??
Sobrang bait at responsive din ng seller..
Thank you so much po.??
Salamat din kuya rider. ??
https://cf.shopee.vn/file/ph-11134103-7r98w-lvda4t5di0ghab
https://cf.shopee.vn/file/ph-11134103-7r992-lvda4t5d2k7lc8
https://cf.shopee.vn/file/ph-11134103-7r98w-lvda4t5di0ghab
https://cf.shopee.vn/file/ph-11134103-7r992-lvda4t5d2k7lc8",5,Green,ph,1,1
13,k*****a,5/16/2024 21:35,https://shopee.vn/shop/74362759,"Performance:smooth
Product Quality:good
Best Feature:screen

Thank you so much ang ganda at ang dami pang freebies. Ang bilis lang din dumating.
https://cf.shopee.vn/file/ph-11134103-7r98v-lvdrhnn33sup74
https://cf.shopee.vn/file/ph-11134103-7r990-lvdrhnnd3e8hfb
https://cf.shopee.vn/file/ph-11134103-7r98v-lvdrhnn33sup74
https://cf.shopee.vn/file/ph-11134103-7r990-lvdrhnnd3e8hfb",5,Green,ph,1,1
14,jevelsonmadarcosrn,5/16/2024 22:19,https://shopee.vn/shop/54841660,"Best Feature:Bluetooth calling, Screen Brightness, Compatibility with iOS and Android, Battery Life , Price
Performance:with 100+ workout modes
Product Quality:Superb for the price

Daming freebies ni Huawei. Sulit na sulit for the price. Got it for 4999 as preorder. Legit astig ng watch.
https://cf.shopee.vn/file/ph-11134103-7r98z-lvdsw149qb0v3d
https://cf.shopee.vn/file/ph-11134103-7r98p-lvdsw149aurz36
https://cf.shopee.vn/file/ph-11134103-7r98v-lvdsw149auvla3
https://cf.shopee.vn/file/ph-11134103-7r98p-lvdsw12bdp75fd
https://cf.shopee.vn/file/ph-11134103-7r991-lvdsw14a5r9rfe
https://cf.shopee.vn/file/ph-11134103-7r98z-lvdsw149qb0v3d
https://cf.shopee.vn/file/ph-11134103-7r98p-lvdsw149aurz36
https://cf.shopee.vn/file/ph-11134103-7r98v-lvdsw149auvla3
https://cf.shopee.vn/file/ph-11134103-7r98p-lvdsw12bdp75fd
https://cf.shopee.vn/file/ph-11134103-7r991-lvdsw14a5r9rfe",5,Black,ph,1,1
15,f*****s,5/16/2024 23:44,https://shopee.vn/shop/114980276,"Fast delivery in just 3 days! Nagulat pa ko ang laki nung box. Yun pala may iba pang freebies like the tote bag & insulated cup. Thank you so much din Huawei for the Php 1,500 discount! Great buy na for the watch plus the Freebuds SE 2 and freebies! No doubt naman sa ganda ng product and performance ng Huawei watch. This is an upgrade from my Huawei Band 7, so sure ako na good quality.
https://cf.shopee.vn/file/ph-11134103-7r98p-lvdvs9k03pht07
https://cf.shopee.vn/file/ph-11134103-7r992-lvdvs9k03pe788
https://cf.shopee.vn/file/ph-11134103-7r990-lvdvs9k0j5qpa9
https://cf.shopee.vn/file/ph-11134103-7r98p-lvdvs9k03pht07
https://cf.shopee.vn/file/ph-11134103-7r992-lvdvs9k03pe788
https://cf.shopee.vn/file/ph-11134103-7r990-lvdvs9k0j5qpa9",5,Pink.,ph,1,1
16,shishucart,5/17/2024 5:05,https://shopee.vn/shop/226302550,"Best Feature:Sleep and Steps counter
Performance:Long-lasting battery life
Product Quality:Cheap but high quality

I received the item earlier than stated. I used it muna for a day and it is really nice, the freebies are also worthy. I didn’t expect the free items looking that really nice. I love the coffee tumbler. For the watch, I used it a lot, and it tracks my sleep that well, and I really like when I use it during workouts. Now, I can count my steps.
https://cf.shopee.vn/file/ph-11134103-7r990-lve7iqvx1sgf70
https://cf.shopee.vn/file/ph-11134103-7r98v-lve7iqvx1sk14f
https://cf.shopee.vn/file/ph-11134103-7r990-lve7iqvx1sgf70
https://cf.shopee.vn/file/ph-11134103-7r98v-lve7iqvx1sk14f",5,Pink,ph,1,1
17,shobegsantos,5/17/2024 9:14,https://shopee.vn/shop/68013782,"Product Quality:Superb
Best Feature:Excellent
Performance:Good

Super ganda and sulit nitong watch na to. Buti may less pa na 1500 kaya sulit talaga, dami pa freebie. Thank you huawei
https://cf.shopee.vn/file/ph-11134103-7r98p-lvegdosgo8y70a
https://cf.shopee.vn/file/ph-11134103-7r98y-lvegdosgo91te8
https://cf.shopee.vn/file/ph-11134103-7r98p-lvegdosgo8y70a
https://cf.shopee.vn/file/ph-11134103-7r98y-lvegdosgo91te8",5,Green,ph,1,1
18,a*****r,5/18/2024 2:03,https://shopee.vn/shop/94986329,"Product Quality:Excellent
Performance:Excellent
Best Feature:Excellent

super worth it ng bundle! ang ganda ng features ng watch, pedeng mag-sync sa strava. daming freebies na dumating. thanks huawei! ??
https://cf.shopee.vn/file/ph-11134103-7r98q-lvfghl7trpoxce
https://cf.shopee.vn/file/ph-11134103-7r98q-lvfghl7trplbbc
https://cf.shopee.vn/file/ph-11134103-7r98q-lvfghl7trpoxce
https://cf.shopee.vn/file/ph-11134103-7r98q-lvfghl7trplbbc",5,Black,ph,1,1
19,dennisomero,5/18/2024 6:44,https://shopee.vn/shop/70964952,"Performance:great
Product Quality:very good
Best Feature:freebies

Best upgrade if galing sa fit 2 got this for less than 5k then marami pa free like freebuds cup and bag
https://cf.shopee.vn/file/ph-11134103-7r98r-lvfqg9febadrdf
https://cf.shopee.vn/file/ph-11134103-7r98r-lvfqg9febadrdf",5,Black,ph,1,1
20,m*****n,5/18/2024 13:00,https://shopee.vn/shop/268099363,"Performance:Fast and vibrant color
Best Feature:Crown and 60Hz
Product Quality:Durable and minimalist

All specifications are subject to the actual product. *Devices complying with the 5 ATM-rated water have a water resistance rating of 50 meters under ISO standard 22810:2010. This means that they may be used for shallow-water activities like swimming in a pool or ocean. It has smartwatch looks, but the Watch Fit is best thought of as an advanced-looking exercise tracker that pulls off telling you the time and delivering notifications better than anything Fitbit or Samsung offers at the price. It is great, and definitely one of the best fitness trackers around.
https://cf.shopee.vn/file/ph-11134103-7r98x-lvg3uimubu4vaf
https://cf.shopee.vn/file/ph-11134103-7r98q-lvg3uioi9ej56d
https://cf.shopee.vn/file/ph-11134103-7r98s-lvg3uios8ztb15
https://cf.shopee.vn/file/ph-11134103-7r98s-lvg3uiosog27ee
https://cf.shopee.vn/file/ph-11134103-7r98x-lvg3uimubu4vaf
https://cf.shopee.vn/file/ph-11134103-7r98q-lvg3uioi9ej56d
https://cf.shopee.vn/file/ph-11134103-7r98s-lvg3uios8ztb15
https://cf.shopee.vn/file/ph-11134103-7r98s-lvg3uiosog27ee",5,Black.,ph,1,1
21,j*****i,5/18/2024 17:44,https://shopee.vn/shop/20102199,"Best Feature:The fitness, battery life & customizable
Performance:Daig pa si A****, charot!
Product Quality:High Quality

Akala ko iba yung laman ng parcel kasi ang laki ng box. Grabeng freebies naman yan Huawei! Sobrang sulit na ng watch + free buds SE 2, may pa suprise pang tumbler and leather tote bag pa! Sige kayo, maspoiled kami nyan. ?? Pre-order daw, pero ang bilis ng delivery, bat naman ganon kayo so much?!!
https://cf.shopee.vn/file/ph-11134103-7r98y-lvgdvu31i15b4b
https://cf.shopee.vn/file/ph-11134103-7r98y-lvgdvu31i15b4b",5,Green,ph,1,1
22,e*****y,5/19/2024 10:01,https://shopee.vn/shop/672942714,"Performance:Great performance
Best Feature:Price and Battery ?? Life
Product Quality:Superb

This is really good alternative for an apple watch ??. Especially for the price and battery life. Also, its 1500 nits peak brightness ?? in compare to Apple Watch SE 2 1000 nits. More sports and workout ?????? features and importantly the always on display (AOD) mode. 

Thank you (Huawei) for the amazing watch, freebies and discounts!
https://cf.shopee.vn/file/ph-11134103-7r98u-lvhc9gyku2bz23
https://cf.shopee.vn/file/ph-11134103-7r98o-lvhcj29jiurz67
https://cf.shopee.vn/file/ph-11134103-7r990-lvhcj29kt7inf6
https://cf.shopee.vn/file/ph-11134103-7r98p-lvhcj29kdr9r55
https://cf.shopee.vn/file/ph-11134103-7r98o-lvhcj29jyb0v85
https://cf.shopee.vn/file/ph-11134103-7r98u-lvhc9gyku2bz23
https://cf.shopee.vn/file/ph-11134103-7r98o-lvhcj29jiurz67
https://cf.shopee.vn/file/ph-11134103-7r990-lvhcj29kt7inf6
https://cf.shopee.vn/file/ph-11134103-7r98p-lvhcj29kdr9r55
https://cf.shopee.vn/file/ph-11134103-7r98o-lvhcj29jyb0v85",5,Black.,ph,1,1
23,beemaecaldozaabatayo,5/19/2024 11:24,https://shopee.vn/shop/181990082,"Performance:super great
Product Quality:maganda..matibay at orig
Best Feature:10/10

Thank u so much seller...I love it so much..thank u also for the freebies...na excite Ako Ng sobra....
https://cf.shopee.vn/file/ph-11134103-7r98x-lvhfty4gfgwf41
https://cf.shopee.vn/file/ph-11134103-7r98o-lvpi4nqxtpmp12
https://cf.shopee.vn/file/ph-11134103-7r990-lvpi4nqy95vl6c
https://cf.shopee.vn/file/ph-11134103-7r98x-lvhfty4gfgwf41
https://cf.shopee.vn/file/ph-11134103-7r98o-lvpi4nqxtpmp12
https://cf.shopee.vn/file/ph-11134103-7r990-lvpi4nqy95vl6c",5,Pink,ph,1,1
24,refamonterexther,5/20/2024 6:58,https://shopee.vn/shop/112338804,"Best Feature:amoled display
Performance:smooth parang sa apple watch
Product Quality:superb

Salamat seller worth it ang pag order ang daming freebies may pa gift box na laman is coffee mug and tote bag ang ganda ng quality nila. Tapos yung isang freebies na freebuds SE 2 ganda ng base at malakas. Lastly, yung fit 3 smartwatch ang ganda gamitin solid tapos very smooth yung mga transitions between apps para talagang apple watch SE but better and cheaper. I love huawei. Btw, nakuha ko lang to sa preorder price with voucher pa for only 4k plus then naka installment s spaylater zero interest. Perfect.??
https://cf.shopee.vn/file/ph-11134103-7r98o-lvilma1i8bprf4
https://cf.shopee.vn/file/ph-11134103-7r991-lvilma1i8btdea
https://cf.shopee.vn/file/ph-11134103-7r98q-lvilma17uonje1
https://cf.shopee.vn/file/ph-11134103-7r992-lvilma1hsvgve3
https://cf.shopee.vn/file/ph-11134103-7r992-lvilma1hsvkh90
https://cf.shopee.vn/file/ph-11134103-7r98o-lvilma1i8bprf4
https://cf.shopee.vn/file/ph-11134103-7r991-lvilma1i8btdea
https://cf.shopee.vn/file/ph-11134103-7r98q-lvilma17uonje1
https://cf.shopee.vn/file/ph-11134103-7r992-lvilma1hsvgve3
https://cf.shopee.vn/file/ph-11134103-7r992-lvilma1hsvkh90",5,Black,ph,1,1
25,j*****2,5/20/2024 11:23,https://shopee.vn/shop/171322030,"Performance:superb, midrange of smartwatches
Best Feature:fitness and health monitoring
Product Quality:solid and decent

Unang bili ko ng Huawei product tapos ang ganda pa ng relo na ito, asagan mong matibay at pagkakamalan na mamahalin sa totoo lang sa stado ng buhay ko mahal na ito pero salamat sa voucher at may freebies pa.
https://cf.shopee.vn/file/ph-11134103-7r98z-lviv3mucmn9r91
https://cf.shopee.vn/file/ph-11134103-7r990-lviv3mucmndd67
https://cf.shopee.vn/file/ph-11134103-7r98z-lviv3mucmn9r91
https://cf.shopee.vn/file/ph-11134103-7r990-lviv3mucmndd67",5,Moon White,ph,1,1
26,h*****9,5/21/2024 6:16,https://shopee.vn/shop/40398786,"Best Feature:can be paired with ios

Late review

Nag order agad ako nito nung pag ka-list nila dito. Got early bird and shopee voucher and i got it for 4,899 only. Ang daming freebies and expected ko lang is yung buds pero meron pa travel Kit (tote + tumbler) na maganda rin quality. 

Ang ganda nung watch kasi can be connected sa ios buti nag delay ako pag bili nung ?? watch and nakita ko to medyo limited yung pwede gawin using ios pero goods na sya for its price and na connect man sya sa ios compare sa other brands na cannot be talaga. 

Napalitan ko na rin sya straps and nalagyan tempered para safe na safe! 

Thank you huawei!
https://cf.shopee.vn/file/ph-11134103-7r98p-lvjzi89n13kf1a
https://cf.shopee.vn/file/ph-11134103-7r98s-lvjzi89mn1zl9a
https://cf.shopee.vn/file/ph-11134103-7r991-lvjzi89m7lqpdc
https://cf.shopee.vn/file/ph-11134103-7r98t-lvjzi89mlnbjc3
https://cf.shopee.vn/file/ph-11134103-7r98s-lvjzi89m672n8b
https://cf.shopee.vn/file/ph-11134103-7r98p-lvjzi89n13kf1a
https://cf.shopee.vn/file/ph-11134103-7r98s-lvjzi89mn1zl9a
https://cf.shopee.vn/file/ph-11134103-7r991-lvjzi89m7lqpdc
https://cf.shopee.vn/file/ph-11134103-7r98t-lvjzi89mlnbjc3
https://cf.shopee.vn/file/ph-11134103-7r98s-lvjzi89m672n8b",5,Pink,ph,1,1
27,fleendwilght,5/22/2024 3:42,https://shopee.vn/shop/163534488,"Best Feature:BATTERY LIFE
Product Quality:100/10
Performance:100/10

Best feature is the battery life. I've been using it for three whole days, and the battery percentage is at 51%. And I was shocked by all the freebies 1. Earbuds with great sound quality 2. Tote bag 3. Tumbler.
Thank u Huawei ??
https://cf.shopee.vn/file/ph-11134103-7r98r-lvl95kyrnj0500
https://cf.shopee.vn/file/ph-11134103-7r98r-lvl95kyrnj0500",5,Moon White,ph,1,1
28,c*****e,5/24/2024 6:34,https://shopee.vn/shop/17626464,"Di ko ineexpect na sobrang laki pala ng box pagdating. Ang ganda din ng quality ng mga freebies, yung tote bag makapal same with the tumbler ang ganda din. When it comes to smartwatch naman sobrang sulit ang upgrade from mi band 5. Ganitong watch kasi yung hinahanap ko merong jumping rope na option as workout. Sobrang premium din ng feels pagsuot. At ang sobrang gusto ko dito is compatible sya sa ios.
https://cf.shopee.vn/file/ph-11134103-7r98u-lvoac9wodts189
https://cf.shopee.vn/file/ph-11134103-7r98u-lvoac9wodts189",5,Pink,ph,1,1
29,c*****9,5/24/2024 10:40,https://shopee.vn/shop/138160757,"Performance:goods na goods
Best Feature:mas ok sya kesa sa apple watch. Hehehe
Product Quality:ganda. Lakas ng dating!

Sulit na sulit ang pagkakabili! Freebies palang panalong panalo na. Bet na bet ko lahat. Good job Huawei!
https://cf.shopee.vn/file/ph-11134103-7r98r-lvog6y6boqtwbd
https://cf.shopee.vn/file/ph-11134103-7r98s-lvoj5fgo4vep3a
https://cf.shopee.vn/file/ph-11134103-7r98q-lvoj5fgoix90b3
https://cf.shopee.vn/file/ph-11134103-7r98z-lvoj5fgo3h049b
https://cf.shopee.vn/file/ph-11134103-7r98r-lvog6y6boqtwbd
https://cf.shopee.vn/file/ph-11134103-7r98s-lvoj5fgo4vep3a
https://cf.shopee.vn/file/ph-11134103-7r98q-lvoj5fgoix90b3
https://cf.shopee.vn/file/ph-11134103-7r98z-lvoj5fgo3h049b",5,Moon White,ph,1,1
30,ginger__24,5/24/2024 12:25,https://shopee.vn/shop/234448649,"First thing, very good packaging. Everything inside is secured. Ang daming freebiessss!!! Sulit tlga kapag pre-order. Already tested the unit. Works well naman. Pati huawei buds is okay.
https://cf.shopee.vn/file/ph-11134103-7r98u-lvomph18joqp73
https://cf.shopee.vn/file/ph-11134103-7r991-lvomph18l3b57f
https://cf.shopee.vn/file/ph-11134103-7r98x-lvomqcqg5nup83
https://cf.shopee.vn/file/ph-11134103-7r98y-lvomqcqg72f533
https://cf.shopee.vn/file/ph-11134103-7r98u-lvomph18joqp73
https://cf.shopee.vn/file/ph-11134103-7r991-lvomph18l3b57f
https://cf.shopee.vn/file/ph-11134103-7r98x-lvomqcqg5nup83
https://cf.shopee.vn/file/ph-11134103-7r98y-lvomqcqg72f533",5,Black,ph,1,1
31,d*****o,5/25/2024 3:29,https://shopee.vn/shop/131577227,"Delivered on scheduled time. Super secured and lots of freebies. Smartwatch lang binili ko pero ang dami ko inunbox. Thanks Huawei love the smartwatch, it perfectly connected to my IOS.
https://cf.shopee.vn/file/ph-11134103-7r98u-lvpj5vziid3oed
https://cf.shopee.vn/file/ph-11134103-7r98t-lvpj5vzixtck95
https://cf.shopee.vn/file/ph-11134103-7r991-lvpj5vzjd9lge2
https://cf.shopee.vn/file/ph-11134103-7r992-lvpj5vziicxtd0
https://cf.shopee.vn/file/ph-11134103-7r98q-lvpj5vzjspuc1f
https://cf.shopee.vn/file/ph-11134103-7r98u-lvpj5vziid3oed
https://cf.shopee.vn/file/ph-11134103-7r98t-lvpj5vzixtck95
https://cf.shopee.vn/file/ph-11134103-7r991-lvpj5vzjd9lge2
https://cf.shopee.vn/file/ph-11134103-7r992-lvpj5vziicxtd0
https://cf.shopee.vn/file/ph-11134103-7r98q-lvpj5vzjspuc1f",5,Black,ph,1,1
32,m*****l,5/25/2024 6:46,https://shopee.vn/shop/84602992,"Performance:10/10
Product Quality:10/10
Best Feature:10/10

This is worth waiting for though I received the item after 9 days. Great deal for it comes with lots of freebies and big discount as well, got this for only 4,995.00. thank you Huawei for this good offer.
https://cf.shopee.vn/file/ph-11134103-7r991-lvpq3bm5wrmca4
https://cf.shopee.vn/file/ph-11134103-7r990-lvpq3bm5y66sc7
https://cf.shopee.vn/file/ph-11134103-7r98u-lvpq3plhg7pd07
https://cf.shopee.vn/file/ph-11134103-7r991-lvpq3bm5wrmca4
https://cf.shopee.vn/file/ph-11134103-7r990-lvpq3bm5y66sc7
https://cf.shopee.vn/file/ph-11134103-7r98u-lvpq3plhg7pd07",5,Black.,ph,1,1
33,jhanera,5/26/2024 14:54,https://shopee.vn/shop/310394009,"Performance:Good
Best Feature:easy to use
Product Quality:high quality

Useful natuwa ako sa product hopefully magtagal kasi may kamahalan ang price, ang daming freebies  hindi ko yun ineexpect, my warranty slip din ang watch
https://cf.shopee.vn/file/ph-11134103-7r98o-lvrmw56mwbghc3
https://cf.shopee.vn/file/ph-11134103-7r98s-lvrmw56mxq0xf3
https://cf.shopee.vn/file/ph-11134103-7r98o-lvrmw56mwbghc3
https://cf.shopee.vn/file/ph-11134103-7r98s-lvrmw56mxq0xf3",5,Black,ph,1,1
34,p*****t,5/27/2024 7:29,https://shopee.vn/shop/37618737,"Product Quality:ganda niya
Performance:superb
Best Feature:health tracker

Grabe sa ganda nga features. Sana lang may calculator and may quick replies. Pero all in all. Ganda niya lalo na yung feature sa health
https://cf.shopee.vn/file/ph-11134103-7r98u-lvsmbyvgcxjo44
https://cf.shopee.vn/file/ph-11134103-7r98u-lvsmbyvgcxjo44",5,Moon White,ph,1,1
35,r*****o,5/27/2024 9:12,https://shopee.vn/shop/198663738,"Performance:9/10
Product Quality:9/10
Best Feature:Accuracy on physical activities

Im one of the first batch to order this watch, and Ive been testing it for a week and it was a great experience, a big upgrade from my old watch. Plus there's freebies! now nakita ko wala na hehe kaya buti naman naka una na. 
MUST BUY! 
TIP: Just order the rubber strap because eto sakin yung new woven material and after workouts of course there are sweats and it stay to this woven material and causes odor. Siyempre linalabahan ko ??
Bili nalang kayo after market case and strap
https://cf.shopee.vn/file/ph-11134103-7r98u-lvsq1j0w7mype9
https://cf.shopee.vn/file/ph-11134103-7r98z-lvsq1j210wzl61
https://cf.shopee.vn/file/ph-11134103-7r98p-lvsq1j208tskec
https://cf.shopee.vn/file/ph-11134103-7r98v-lvsq1j207f297f
https://cf.shopee.vn/file/ph-11134103-7r98u-lvsq1j0w7mype9
https://cf.shopee.vn/file/ph-11134103-7r98z-lvsq1j210wzl61
https://cf.shopee.vn/file/ph-11134103-7r98p-lvsq1j208tskec
https://cf.shopee.vn/file/ph-11134103-7r98v-lvsq1j207f297f",5,Grey,ph,1,1
36,gwaiipabinguit,5/27/2024 23:07,https://shopee.vn/shop/227050429,"Performance:Great!!
Best Feature:Sleep and step tracker
Product Quality:??????

I have seen several videos of the Huawei Watch Fit 3 before I decided to purchase it as a birthday gift for myself. I want to be more committed to my physical health and I know that this will help me a lot. ???? superb quality for a good price!!
https://cf.shopee.vn/file/ph-11134103-7r98s-lvtjyg6sny0xb0
https://cf.shopee.vn/file/ph-11134103-7r992-lvtjyg6s8hs1a7
https://cf.shopee.vn/file/ph-11134103-7r98s-lvtjyg72835t59
https://cf.shopee.vn/file/ph-11134103-7r98s-lvtjyg6sny0xb0
https://cf.shopee.vn/file/ph-11134103-7r992-lvtjyg6s8hs1a7
https://cf.shopee.vn/file/ph-11134103-7r98s-lvtjyg72835t59",5,Moon White,ph,1,1
