Username,Date,Reviews,Rating,Model,Type,Brand
Rebecca R,1/7/2025,"When I was researching what new iPad I was going to get, I came across this one by this seller.  I viewed the photos and all on the same page was an image for powerful performance, the all day battery, the 12MP ultra wide front camera along with the smart keyboard and apple pencil  It turns out it did not come with the keyboard or pencil.  Yes, it probably stated what was in the box, but I was focused on the photos.The delivery was awful.  It was marked as 'handed directly to a resident' which was absolutely inaccurate and untrue ---- the box was laying beyond our driveway (which is about 50 feet from our front door) in the road!  This was the most disappointing experience and that it was noted as 'handed directly to a resident' is dishonest.",1,Test A model,Type Test,Brand X
shad man,1/6/2025,I just love the portability couple that with a nice case and it’s easy to travel with.,5,Test A model,Type Test,Brand X
MD,1/6/2025,Works great.,5,Test A model,Type Test,Brand X
Jerry,1/6/2025,I use this everyday,5,Test A model,Type Test,Brand X
Cliente de Kindle,1/5/2025,Salen buenas y es la batería dura para mucho|,5,Test A model,Type Test,Brand X
Jerold Epperson,1/5/2025,"Great iPad, used everyday, no problems with it at all. Charges quick, get all kinds of apps.",5,Test A model,Type Test,Brand X
GaryLehrman,1/5/2025,I used these things for work and I liked it so much. I bought one for myself for home use,5,Test A model,Type Test,Brand X
Francisco Arias,1/5/2025,Excelente,5,Test A model,Type Test,Brand X
Amazon Customer,1/5/2025,My daughter loves it.,5,Test A model,Type Test,Brand X
NF,1/4/2025,operating system not loaded properlyApple support actually worse than HPApple store even worseJust a giant team to sell more Apple products not very good at fixing anythingHighly disappointing,2,Test A model,Type Test,Brand X
Ross Romero|Ross Romero,1/4/2025,Excelente producto,5,Test A model,Type Test,Brand X
Pierre,1/4/2025,Excellent,5,Test A model,Type Test,Brand X
Julissa,1/3/2025,"It works great, as expected. fast shipping",5,Test A model,Type Test,Brand X
Linda,1/3/2025,Works great at a good price. No down side here.,5,Test A model,Type Test,Brand X
Lorraine rosenbaum,1/3/2025,This ipad is not sensative enough to the touch.  I have to hit a button several times to get started and to write a message.  I wonder if it was reconditioned.,2,Test A model,Type Test,Brand X
Amazon Customer,1/3/2025,"I am so happy with my IPad Gen 9, Shipping was so quick!  Great Product!",5,Test A model,Type Test,Brand X
Lai lai|Lai lai,1/2/2025,It works fast and it runs fast,5,Test A model,Type Test,Brand X
Taffy,1/2/2025,At first I was skeptical about it but it turned out to be legit! Get it,5,Test A model,Type Test,Brand X
Dad,1/1/2025,"Easy for kids to use, large screen and easy set up and use",5,Test A model,Type Test,Brand X
Yash|Yash,1/1/2025,"If you are looking for something that gets the work done but is in your budget, it is the to go. The black color provides a premium look. The Durability is just amazing. I have been using it for a job and it looks new. It doesn’t compromise on the  functionality. I have a wifi Connectivity iPad which is just enough since i am mostly connected to the wifi. I would say, for 300$, this has been a life saver. Either for college, multimedia or reading, a real value for money from Apple.",5,Test A model,Type Test,Brand X
robert j king,1/1/2025,Great iPad at a great price to replace a much older one.,5,Test A model,Type Test,Brand X
Matthew Huber,1/1/2025,So far so good for this discounted I pad. Works great so far. Great graphics and response time.,5,Test A model,Type Test,Brand X
Ashopper,12/31/2024,"This Apple iPad performs well, it’s smooth, fast, and handles apps effortlessly. However, the touchscreen feels a bit more plasticky compared to my iPad Pro, which is a little disappointing.",4,Test A model,Type Test,Brand X
nia,12/31/2024,"Works, authentic, and a great price.",5,Test A model,Type Test,Brand X
hillbilly dairy queen,12/31/2024,Great price for ??  Enough said,5,Test A model,Type Test,Brand X
Bee Walker,12/30/2024,Item as described love the product.,5,Test A model,Type Test,Brand X
Teresa moore,12/30/2024,Great price,5,Test A model,Type Test,Brand X
ducky3799,12/30/2024,"i haven't had an ipad before. i have had an iphone for years, but i thought i would splurge on this and i love it!",5,Test A model,Type Test,Brand X
Chelsea,12/29/2024,Was worried ordering one of these but it works and I signed in using my apple account. No problems.,5,Test A model,Type Test,Brand X
Mr. Truth,12/29/2024,Great for the job.,5,Test A model,Type Test,Brand X
Wiggles,12/28/2024,The price and style were perfect for the kids. I am pleased with the quality and ease of setup,5,Test A model,Type Test,Brand X
D. Randall,12/28/2024,Very pleased with the clarity and speed of this iPad over my old air model,5,Test A model,Type Test,Brand X
Michael D Ranado,12/28/2024,"It is good quality, worth the money.  I use it all the time to replace my 7 year old Ipad.",5,Test A model,Type Test,Brand X
patricia w.,12/28/2024,"This ipad seems  to smell like a chemical, not sure if it will go away, hope so. Hope nothing is wrong with it.",4,Test A model,Type Test,Brand X
Ron L.,12/28/2024,"This is my 3rd iPad and this model is slow, constantly refreshes making it impossible to use. Only buy directly from Apple, now I have a piece of junk. PS I have reset, turned on/off cleaned up storage space etc several times and it still doesn’t respond well.",1,Test A model,Type Test,Brand X
Amazon Customer,12/28/2024,Wonderful wonderful wonderful,5,Test A model,Type Test,Brand X
Larry Johnson,12/28/2024,The Pad has advanced technology and easy to use,5,Test A model,Type Test,Brand X
Kleo,12/27/2024,"The 9th generation iPad is a fantastic tablet that offers a great balance of performance and affordability. Its A13 Bionic chip provides snappy performance for everyday tasks like browsing the web, streaming videos, and playing casual games. The vibrant 10.2-inch Retina display delivers crisp visuals for enjoying media and working on creative projects. The long battery life allows for extended use without needing to constantly recharge. Whether you need it for work, school, or entertainment, the 9th generation iPad is a reliable and versatile device that offers excellent value for the price.",5,Test A model,Type Test,Brand X
JAMES LEWIS,12/26/2024,Great ipad just as described just what you'd expect with Apple,5,Test A model,Type Test,Brand X
JILL ERICKSON,12/25/2024,One of the IPADS does not work. It does not respond to touch.,1,Test A model,Type Test,Brand X
Amazon Customer,12/25/2024,"Screen didn't work, images were bouncing all over, could not set up, buttons did not function.  Very disappointing for such an expensive item to be a brick out of the box on Christmas day.",1,Test A model,Type Test,Brand X
Amazon Customer,12/25/2024,"Ordered as a Christmas gift and as we opened it this morning, there was no factory shrink wrap.  Then, while setting up the Ipad, it prompted us to erase all data as the Ipad was already partially set up.  I didn’t think anything of it until the screen started to fail within 5 minutes of using it.  This was not listed as used or refurbished so we are very upset.",1,Test A model,Type Test,Brand X
Cassie,12/25/2024,Works great,4,Test A model,Type Test,Brand X
Tlgipson,12/25/2024,Works,5,Test A model,Type Test,Brand X
Begonia,12/24/2024,Bought too many and I have forgotten what made me return it. But didn’t work correctly.,1,Test A model,Type Test,Brand X
Holly Jenkins,12/24/2024,"Purchased in December for myself.  Out of date software.  It's been an month and I still cannot get it to recognize my wifi, my apple ID, nothing.  Will probably have to send back since it will not correctly setup.  So disappointing",1,Test A model,Type Test,Brand X
Charles C.,12/24/2024,We bought two of these iPads for our kids for Christmas. They came very visibly refurbished. The white boxes were not wrapped in plastic but instead were taped shut at the edges. The iPads were in plastic bags inside the box. The charger and block were filthy and scratched. We paid full price for what we thought were brand new iPads only to receive two used ones. Returning immediately.,1,Test A model,Type Test,Brand X
Gunashekar kalluri,12/24/2024,This is an amazing iPad got for best deal. I’m loving it,5,Test A model,Type Test,Brand X
Haxolotl,12/24/2024,"Bought this to try out since a lot of my peers use iPads. Even though this version is dated, it more than gets the job done. Pair it with a knockoff pencil and it is unbeatable. The screen isn't the best for a pen, so get one of the knockoff paper-screens too. The 64 GB feels a bit small, but as long as you are smart with your file usage (ex: deleting old files), 64 gb is plenty.",5,Test A model,Type Test,Brand X
Jim Lee,12/24/2024,Complete scam went to wrap the present and the box was open and empty.,1,Test A model,Type Test,Brand X
Ishimina Roberts|Ishimina Roberts,12/24/2024,I got me and my step daughter one and they work amazing. We haven’t had any issues and they connected to WiFi quickly. The battery has a very long life. I use my daily and don’t have to charge it often. Haven’t experienced any freezes or screen issues.,5,Test A model,Type Test,Brand X
Dennis Gordon,12/23/2024,I have always wanted an Ipad.. this was the best price I could find. I really enjoy it.. DG,5,Test A model,Type Test,Brand X
Roberto Ruiz,12/23/2024,"Excellent, good for the price",5,Test A model,Type Test,Brand X
B. Foster,12/23/2024,This was purchased to replace a fire. I used it every day and am well pleased.,5,Test A model,Type Test,Brand X
MIKE,12/22/2024,Great price,5,Test A model,Type Test,Brand X
vvin,12/22/2024,nice deal,5,Test A model,Type Test,Brand X
Nathan schuler,12/21/2024,"Great Ipad overall just make sure its placed in a case with a screen protector. i had it for a week and barely dropped it resulting in a cracked screen, my fault i know but just a warning. it does run Ipad OS which is a huge plus compared to IOS in the older models. so this ipad is still current with the newer models in my own opinion and it does have cellular connectivity so it can be helpful for business use or for the kids on road trips.",4,Test A model,Type Test,Brand X
Aimee,12/20/2024,"I am absolutely impressed at how long this is able to stream on a single charge.I have insomnia and often stream shows and fall asleep with the iPad on.  I also live where we get a lot of power outages in bad weather so I run downloaded shows while the power is out.I put the display on close to the lowest brightness level to make the battery last, and it ran all night, 9 hours and used only 50% of the battery!So if you need a tablet that has an amazing battery that will last a long time on a charge, this is it!",5,Test A model,Type Test,Brand X
"Muy hermosa, me encanta.",12/20/2024,"Está hermosa, funciona muy bien.|",5,Test A model,Type Test,Brand X
Gerry Duffy,12/20/2024,"My wife’s 8 year old iPad much quicker as is my 4 year old cheap tablet. Otherwise product is really good, colours, definition etc.",2,Test A model,Type Test,Brand X
Grammar Police,12/20/2024,"I can’t believe this. It is so slow. Or I’ll be surfing the web, and it’ll go from the site I’m on to something else. Gets stuck all the time. The worst. I didn’t send it back in time, because I thought it would get better. Now I’m stuck. A piece of junk. Don’t buy it.  Can’t believe it has a good rating.",2,Test A model,Type Test,Brand X
Order up!|Order up!,12/20/2024,Good,5,Test A model,Type Test,Brand X
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
