Username,Date,Reviews,Rating,Model 
Daroso guy,1/8/2025,RAS,5,Redmi Pad SE
To the priest,1/2/2025,The Great Patriotic War|,5,Redmi Pad SE
Abdul Rauf,11/16/2024,"Super fast and Full HD, Recommended to others",5,Redmi Pad SE
Jose Luis MDM,6/17/2024,"Great tablet for its category. Good image quality and good quality of materials. I bought the 8GB 256MB version and the performance is good. You could ask for a little more speed, but it is enough. Good value for money. Satisfied with the purchase.|",5,Redmi Pad SE
Hathout,9/27/2024,Top quality award|,5,Redmi Pad SE
Jefferson Pereira,4/4/2024,"The tablet is fantastic, it will eliminate a lot of the need for using a computer for studies. You have an excellent RAM memory of 8GB and 256GB of armature, you also have the best processor on the market for this line of cost-effective products. I have done a detailed analysis of various products and this one has me paying a lot of attention to its configurations.|",5,Redmi Pad SE
Lazzamax,12/28/2024,"Best work, punctual and second to expectations|",5,Redmi Pad SE
1gmail,10/13/2024,جهاز ممتاز جدا جدا من افضل الخيارات في فئته قمت بشرائه ٣ مرات شاشة رائعة و واضحة وسرعة عالية وذاكرة ممتازة|,5,Redmi Pad SE
Medhat Y.,11/9/2024,اكتر من راااائع انصح به وبشدة|,5,Redmi Pad SE
user-M41ESZ,12/2/2024,إمكانيات رائعه بالنسبة للفئه السعريه دى .يستحق الشراء|,5,Redmi Pad SE
Ali,9/5/2024,"Xiaomi Redmi Pad SE: A Budget Champion When it comes to affordable Android tablets, we often expect a familiar story: mediocre build quality, outdated internals, sluggish performance, and a short lifespan. But the Xiaomi Redmi Pad SE defies those expectations. It's the first Xiaomi device I've used, and I must say, I'm impressed—even though this is a budget tablet1. Here's why the Redmi Pad SE stands out: Impressive 90Hz Refresh Rate: What sets this tablet apart in its price range is its 90Hz refresh rate. Most budget-friendly tablets stick to the standard 60Hz, but the Redmi Pad SE steps up the game. With smoother animations, fluid transitions, and remarkably responsive scrolling, it feels surprisingly premium2. Solid Build Quality: The metal body of the Redmi Pad SE feels good in hand. Xiaomi didn't compromise on materials, and it shows. You won't mistake it for a flimsy paperweight anytime soon. Decent Performance: Powered by the Qualcomm Snapdragon 680 4G, the tablet handles everyday tasks well. Whether you're browsing, streaming, or multitasking, it won't leave you frustrated. Multimedia Features: Quad Speakers: The Redmi Pad SE boasts quad speakers, making media consumption enjoyable. Expandable Storage: With 128GB of storage (expandable via microSD card), you won't run out of space for your apps and files. High-Refresh Display: The 11-inch IPS LCD display with a 90Hz refresh rate ensures a pleasant viewing experience. Affordable Price: The Redmi Pad SE won't break the bank. At around $240 for the 128GB/8GB model, it's easy on your wallet. Plus, you get three color options: Mint Green, Graphite Gray, and Lavender Purple. Of course, there are some trade-offs: Graphics performance isn't mind-blowing. No official support for an active stylus. No fingerprint scanner.",5,Redmi Pad SE
Net Solution,7/28/2024,"Pour le prix je ne pense pas que l'on pourrait faire mieux. It is assez réactive, intègre 256Go de stockage. Pour les enfants c'est largement suffisant. It is also a beautiful one.|",5,Redmi Pad SE
denis,7/1/2024,"I have a tablet to navigate your internet and to save the post, I will say that it is not satisfactory. This film in streaming is ottimi and the audio is ok. Best traveling companion. A little scarso il riconoscimento facciale per sbloccarlo. At the end I must always insert the PIN.|",5,Redmi Pad SE
Jesus p.,8/28/2024,"High-end features, price. Look no further, recommended ☺️|",5,Redmi Pad SE
Zherlitsyna Svitlana,12/29/2024,"Tolles Tablet, my Tochter ist zufrieden damit.|",5,Redmi Pad SE
Alvin D.,1/9/2025,I ordered a cover for it and it did not fit!!!,5,Galaxy Tab A9+
hah,11/8/2024,"Super fast, easy to navigate, easy  to setup. Its a nice size and very light weight. Downside is the charging plug.  I don't have a way to charge it. The plug has the same end that fits in the tablet. I had to order usb-a to usb- c to charge it. Also had to order an sd card for more memory.",4,Galaxy Tab A9+
Mike,1/17/2025,Super food value for the money exceed my expectations love it.,5,Galaxy Tab A9+
Amazon Customer,1/1/2025,Very Durable. Scratch resistant. Ease of connectivity. Great appearance. Great Value.,5,Galaxy Tab A9+
Linda,12/28/2024,"So impressed with product, the size is amazing. Super easy to transfer data",5,Galaxy Tab A9+
TuanHuy|TuanHuy,1/5/2025,It's great to use the tab a9 it's smooth and very beautiful,5,Galaxy Tab A9+
Nancy J,1/23/2025,"Great screen size, great speed for my 7yo. Great price for cyber monday.",5,Galaxy Tab A9+
Rita Santoro|Rita Santoro,1/5/2025,Honestamente pensé que era más rápida y traia mucho más incorporaciónes.|,5,Galaxy Tab A9+
Amazon Customer,1/12/2025,Use in kitchen while cooking from recipes online. Just what I needed!,5,Galaxy Tab A9+
Verified Customer,1/7/2025,Like the size and processor speed. Great for games and streaming.,5,Galaxy Tab A9+
Alvin D.,1/9/2025,I ordered a cover for it and it did not fit!!!,5,Galaxy Tab A9+
hah,11/8/2024,"Super fast, easy to navigate, easy  to setup. Its a nice size and very light weight. Downside is the charging plug.  I don't have a way to charge it. The plug has the same end that fits in the tablet. I had to order usb-a to usb- c to charge it. Also had to order an sd card for more memory.",4,Galaxy Tab A9+
Mike,1/17/2025,Super food value for the money exceed my expectations love it.,5,Galaxy Tab A9+
Amazon Customer,1/1/2025,Very Durable. Scratch resistant. Ease of connectivity. Great appearance. Great Value.,5,Galaxy Tab A9+
Avi,1/21/2025,I’m an apple guy but wanted an android device. Most budget android tablets are trash and run slow. This one one highest spec is less than the cheapest iPad and runs just as good. And now I get all the benefits of having android too. The interface is iPad like which makes it easy to switch to. Best tablet for the price!,5,Redmi Pad Pro WiFi
George Walker|George Walker,12/24/2024,"I wish the 11-in have the higher L1 Winevine certificate so I can watch TV shows and YouTube on 4K at 60 frames per second and HDR. The chipset on that tablet as the capabilities but for some strange reason the manufacturer then op for a better certificate for the capabilities to reflect the performance on the tablet. Now ask for for the bigger one the 12-in pro, it checks all the boxes at the 11th inch one didn't. Even though both of their speakers are very loud which I can't take away from the 11 inch and the value for the money is the same price as the 11-in. They both had actually screen quality in my opinion. And the color options are pretty cool. I barely watch TV now since I got this big boy. With 8gb of RAM and 256 of storage with expansion slot of a terabyte or more SD card, you can't go wrong.",5,Redmi Pad Pro WiFi
Elliana,11/18/2024,"It provides more features for less money. Very good display, and you can add a memory card, that was a main reason to buy it.",5,Redmi Pad Pro WiFi
sergio cortez|sergio cortez,1/21/2025,"Battery life is great, tablet quality is really good, I bought this tablet for trading; more specifically to run tradingview and it does not disappoint, great speed, ease of use is similar to Android (around 87 percent similar); there is a learning curve, Weight is not bad for a tablet this size but last, the picture quality is not there which doesn't bother me, I bought it solely to use tradingvie and for that it excels. Great tablet.",5,Redmi Pad Pro WiFi
Jeff,1/2/2025,"This is a beautiful tablet and an okay price but 1080p Youtube videos ( tried several and compared them with other screens) look blurry even at 60 frames per second, even if I turn the tablet to forced 120 hertz screen.",4,Redmi Pad Pro WiFi
Elbin Plasencia|Elbin Plasencia,1/12/2025,"Excellent product, I would buy it again without thinking twice... You can read, do university work, you can play games since it has a good performance in that area, good storage (250 GB) RAM memory (8 GB). I recommend it!",5,Redmi Pad Pro WiFi
Charles  Baxter,11/1/2024,"Nice 12.1"" display and performance is excellent on the 6GB/128GB version, although if you plan on doing any gaming get the 8GB version",5,Redmi Pad Pro WiFi
Bobbyb,12/1/2024,Thanks u do good job,5,Redmi Pad Pro WiFi
Muy bueno,1/4/2025,Estoy totalmente satisfecho con la tablet y sobre todo su cargador|,5,Redmi Pad Pro WiFi
Carlos Robinson,12/16/2024,"Lo solicitado es lo que llego y ya lo había comparado con lo visto en mi país en las tiendas de la marca y lo mismo a mejor precio, sin queja alguna, programada y lista para usar.|",5,Redmi Pad Pro WiFi
Bernal Araya Carvajal,12/30/2024,"Tiene una alta resolución, se puede conectar con el Iphone y compartir las aplicaciones|",5,Redmi Pad Pro WiFi
Espectacular...mejor de lo esperado.,1/5/2025,Muy buena...solo un poquito pesada.|,5,Redmi Pad Pro WiFi
José Guartazaca,12/10/2024,"Entregada justo a tiempo, excelente equipo, al momento configurandola y sin ninguna novedad. Compra satisfactoria. 😁|",5,Redmi Pad Pro WiFi
José Gabriel Navarro Blanco,12/6/2024,Todo es perfecto|,5,Redmi Pad Pro WiFi
Buen Producto.,11/4/2024,Me gusto la tablet|,5,Redmi Pad Pro WiFi
Exelente,11/1/2024,Exelente,5,Redmi Pad Pro WiFi
Anak Agung Putra Sudarsana,10/13/2024,Love it,5,Redmi Pad Pro WiFi
lunchbox,10/3/2024,I like the tablet but I really hate the silly restrictions. I am unable to unlock my bootloader because you must apply for a code and the queue is ALWAYS full.  You can't use Bluetooth to unlock your device unless it's Xiaomi device.  I do wish the SOC wasn't just another rebranded chip.  Xiaomi really shouldn't get you money and I regret buying this tablet.,3,Redmi Pad Pro WiFi
The worst experience|The worst experience,12/19/2024,Tablet runs smoothly. No issues. Charger not suitable they don’t sent an adapter. Nothing,2,Redmi Pad Pro WiFi
Noé López Durón|Noé López Durón,1/2/2025,El producto me llegó en prácticamente una semana. El embalaje como regalo me gustó mucho y hasta ahora el producto no ha presentado ningún problema. Quedé muy satisfecho con la compra.|,5,Redmi Pad Pro WiFi
FishKarp,10/3/2024,wery good,5,Redmi Pad Pro WiFi
Jose r.|Jose r.,15-Dec-24,"|The video showcases the product in use.|The video guides you through product setup.|The video compares multiple products.|The video shows the product being unpacked.|Video Player is loading.||Play Video||Play||Mute||Current Time|0:00|/|Duration|1:30|Loaded: 6.67%|Loaded|6.67%|Stream Type||Seek to live, currently behind live|LIVE|Remaining Time|-|1:30||Playback Rate||Chapters||Descriptions|descriptions off|, selected||Captions|captions off|, selected||Audio Track|default|, selected||Fullscreen|Funciona increíble y rinde bastante bien en emulación,.mueve ps2, switch, Wii decentemente la seguiré probando y actualizaré la opinión si le encuentro un gran defecto|",5,Redmi Pad Pro WiFi
Julie,1/9/2025,Perfekt! So ein gutes Produkt zu einem vernünftigen Preis!!|,5,Redmi Pad Pro WiFi
ابو رضا,1/9/2025,اداء رائع ووضوح في الشاشه وسريع في التحميل|,5,Redmi Pad Pro WiFi
Adilson lazaro silva,1/11/2025,"O redimi pad pró é muito bom,me atendeu perfeitamente,rápido ,imagem e som impecáveis.|",5,Redmi Pad Pro WiFi
bisku,12/10/2024,"recomiendo 💯, además me llegó una semana antes de lo previsto, una grata sorpresa,muy buen producto..... sólo me queda felicitar a los transportistas.....|",5,Redmi Pad Pro WiFi
Fernandes Benjamin,12/22/2024,"Bien reçu et rapidement, conformément à la description, top|",5,Redmi Pad Pro WiFi
Christian,1/12/2025,Für den Preis bekommt man hier sehr viel Tablet.|,5,Redmi Pad Pro WiFi
Joaquim Q.,1/3/2025,Ótima relação custo/benefício.|,5,Redmi Pad Pro WiFi
Nicolas|Nicolas,2-Nov-24,"package received in good condition, the product description was correct. perfect.",5,Redmi Pad Pro WiFi
Letícia de Macedo Silva|Letícia de Macedo Silva,9/25/2024,"|The video showcases the product in use.|The video guides you through product setup.|The video compares multiple products.|The video shows the product being unpacked.|Video Player is loading.||Play Video||Play||Mute||Current Time|0:00|/|Duration|0:14|Loaded: 42.90%|Loaded|42.90%|Stream Type||Seek to live, currently behind live|LIVE|Remaining Time|-|0:14||Playback Rate||Chapters||Descriptions|descriptions off|, selected||Captions|captions off|, selected||Audio Track|default|, selected||Fullscreen|O Xiaomi Redmi Pad Pro é ORIGINAL e realmente igual a descrição.Avaliação inicial em 25 Set 2024.Última avaliação em 15 Out 2024 (e seguindo).Demorou a chegar (quase um mês) conforme o prazo que o vendedor informou.Veio com carregador 33W e cabo C-USB compatível, manual e chavinha pra abrir a bandeja do cartão de memoria.A caixa abre na mesma base do ódio/paciência que do iPad e iPhone.Toda descrição do produto bate certinho com o que chegou. Eu vim por indicação de avaliação de um canal do YT que assisti após comparar vários tablets pra comprar e indicou essa loja. O único ponto negativo até agora tem sido a falta da Nota Fiscal, mas aumentarei a nota assim que receber.Funções e Compatibilidade:BATERIA:Carregamento total em 1h30.No primeiro dia 20/09 eu usei bastante, por 12h, pra testar apps, jogos, tela, funções, tudo bom. Usei o dia todo pra testar recarregamento de bateria e deixei ir até 2% pra carregar.Ficou ligado 2 dias usando por 6 a 8h/dia em Modo Econômico de bateria e descarregou só até 60%, então gostei muito da bateria.- 15Out2024: bateria realmente boa. Joguei, assisti filmes, desenhei, li livros e a bateria durou quase 3 dias sem precisar carregar. Nunca deixe a bateria zerar pra carregar, quando estiver entre 3% e 5% recarregue, assim vai durar muitos anos. Faço isso com meus aparelhos e nunca dão problema com bateria. Peguei essa dica com técnico de informática e nunca mais tive problema de bateria viciada.BLUETOOTHEle aceita dupla tela no notebook, tv ou celular através do bluetooth.Consegui jogar nele com um joystick paralelo (marca Aolion) via bluetooth tranquilamente. Airbuds Xiaomi, Airbuds paralelo e fone de ouvido estofados com ANC ativo, todos via bluetooth deu tudo ok. Conecta tranquilamente com impressora, laptop, tv, teclado, joystick paralelo e com celular tbm Xiaomi. Não testei em outras marcas de celular.- 15Out2024: conecta bem com celular e tv da marca Samsung, pra fazer streaming de tela pra assistir vídeos. Mas não dá pra assistir em 4k, somente até 1024, mas foi ótimo.SOMA saída de som dele é boa mas achei que seria mais alta, tem entrada pra cabo de som tbm, muito bom, não perde qualidade. Fiz testes de som no Spotify, YouTube e Chrome, avaliando cada um com saída das caixinhas, pelo bluetooth e pelo cabo. Padrão de celular Xiaomi.Para assistir filmes ou ouvir músicas sem fone é bom, mas com fone é bem melhor a qualidade dos graves e volume no geral.TELAA tela realmente tem qualidade de imagem acima da média, imagem nítida com cores realistas. As paletas de cores ficam fidedignas. Boa para desenho, pintura e impressão. Eu comprei pela qualidade da tela, para uso de desenhos para Tattoo. Preciso de cores corretas para não errar tonalidade das tintas, e esse tablet realmente ajudou nisso.Quando usa o Modo Leitura 👁️, que corrige a coloração pra retirar a luz azul, fica muito bom pra ler livros e PDFs, facilita pra estudo sem forçar tanto os olhos. Pra ativar, só puxar pra baixo e ir no desenho do olho. Não esqueça de desativar para voltar a desenhar e ver as cores mais vivas novamente.-15Out2024: Para assistir filmes e YT, não sei ainda qual o motivo de não carregar 4k, só vai até 1024. Quando tento assistir em 4k, a tela fica branca. Eu devo ter perdido alguma informação no manual sobre ir ou não até 4K. Obtendo mais informações, eu trago aqui.ESCREVER, DESENHAR E TOUCHEscrever com dedo ou caneta com ponta de borracha/alumínio/plásticos (pen universal) dão na mesma, pois não têm rejeição de palma para estes.ATENÇÃO pra não gastar grana: NÃO é compatível com qualquer caneta stylus. Para ter rejeição de palma, a Xiaomi aprontou a brincadeira de criar uma caneta só pra esse tablet, e já fui atrás, o nome e ""Xiaomi Redmi Smart Pen"". Não gastem grana com uma Xiaomi Focus Pen pois ela só é compatível até a versão anterior desse pad, que seria o Redmi Pad SE, não serve pra essa versão Pad Pro. Fui atrás de várias rewiews, conversei com muitos vendedores de alguns países e fui ao site da Xiaomi do Brasil e Chinês. E só essa ""Xiaomi Redmi Smart Pen"" é compatível com rejeição de palma e conecta perfeitamente com traço sem falha. Fiz o pedido fora e assim que chegar, trago atualização aqui. Também fiz o pedido da POCO Pen (pois é a versão japonesa desse tablet, que o Japão comprou parte da fábrica lá).-09Out24: ainda aguardando as canetas chegarem, assim que chegarem, eu trago atualizações do que funciona. Quem tem pressa, como eu, tô usando uma canetinha universal dessas de 10 reais pra ir desenhando e escrevendo, só não esqueça de não encostar a mão pra não perder o traço.CAPA E TECLADOVi um pessoal falando lorota aí que não têm capa e teclado pra ele, mas tem sim! Basta buscar por ""Case Redimi Pad Pro 12.1"". Vão achar de couro, de plástico, de todo jeito, algumas até parecidas com capinha do Kindle.Ele conecta em teclado bluetooth também. Eu o conectei no teclado do meu iPad antigo e deu bom, mas só fiz pra teste. Há capinhas com teclado a venda aqui e em sites de outros países.  Eu pedi de fora tbm, assim que chegar posto atualizações. Comprei colorido com luz led bem frufru - já basta minha alma triste com o parcelamento desses boletos, deixa eu me divertir com os brilhinhos do teclado, a capinha de madame e aproveitar minha compra hehehe.-15Out2024: capinha com teclado chegou da China, não tem marca, abre em Flip, fecha desligando a tela. Tecladinho frufru bonitinho, conecta bem e ainda ganhei um mouse que tbm conecta. Vira quase um mini notebook. Achei firmeza pra estudos, pois cabe na minha bolsa. E da pra usar sem teclado tbm, só tirar, ele fica preso como um imã e lembra aquelas versões Samsung Galaxy Tab. Comprei com um desse de uma amiga, e parece demais. Enfim. Qualquer tecladinho (sem pendrive) funciona via bluetooth.NOTA FISCALAssim que o vendedor enviar a nota fiscal atualizo as estrelinhas aqui tambem.-9out24: nada de Nota Fiscal ainda. Vendedor tinha pedido 10 dias úteis. Cadê, minha nota, vendedor???-15Out2024... Cadê minha Nota Fiscal, vendedor? Já acionei a ouvidoria da Amazon. Ah nem, estou ficando estressada!Se gostou da avaliação, deixa like que sempre que compro, faço atualizações detalhadas de tempos em tempos. Eu volto pra avaliar uso de produtos a cada 2-3 meses por até 2 anos, falando a realidade do uso, se deu problema (e como resolvi). Podia ser pago mas faço isso só pq eu sofri muito indo atrás de produto e não achei avaliações assim.Avaliação inicial em 25 Set 2024.|",5,Redmi Pad Pro WiFi
Andre Costa,1/2/2025,"Produto chegou antes do prazo, e se tratando do tablet em si, não tenho o que reclamar. Funciona muito bem, boa resposta ao toque, rapidez na abertura do aplicativos, bem como alternando entre apps, mesmo com outros abertos. A duração da bateria em uso agradou muito também.Dentro da sua faixa, ele atende muito bem.|",4,Redmi Pad Pro WiFi
Mary,31-Aug-24,"I noticed that it's Au version. And no charger. I was okay with that.However when I got the parcel, i saw the charger. I was a bit of suprised.  Then I tried to charge the tablet, but failed.  Right now I have to use the cable to charge the tablet.So I don't understand why it is.",3,Redmi Pad Pro WiFi
Bosco,1/16/2025,schnelle Lieferung|,5,Redmi Pad Pro WiFi
Kim,12/31/2024,اشكر البائع الشحن مره سريع وجودة المنتج ممتازة صراحه|,5,Redmi Pad Pro WiFi
Fernando A Martinez M,8-Jul-24,La calidad del producto y sus fucniones|,5,Redmi Pad Pro WiFi
Luiz,12/3/2024,"O aparelho é ótimo, como é grande e meu uso é na mão senti falta de uma capa giratória com pegada de punho e uma caneta, do resto é um excelente tab.|",5,Redmi Pad Pro WiFi
Jean-François 23,12/21/2024,"Il me faut m'adapter à cette nouvelle tablette.Une fois bien réglée, c'est pas mal du tout et on peut augmenter le mémoire vive qui est de 4 Gb au départ et que j'ai mis à 8 Gb, la ROM aussi peut être augmenté via Micro SD.A voir à l'usage mais j'en suis content pour le moment.Moins chère serait bien.|",4,Redmi Pad Pro WiFi
Ivonaldo|Ivonaldo,12/10/2024,"Excelente tablet, chegou antes do previsto.|",5,Redmi Pad Pro WiFi
Gilbert,12/8/2024,Excellent produit mais le logiciel est moins souple que celui des smartphones Xiaomi. Sur l'écran d'accueil : nombre de colonnes d'icônes non modifiable ; taille d'icônes non modifiable; écran n-1 non modifiable ; dimensions widget très peu modifiables.|,4,Redmi Pad Pro WiFi
João H.|João H.,11/11/2024,"|The video showcases the product in use.|The video guides you through product setup.|The video compares multiple products.|The video shows the product being unpacked.|Video Player is loading.||Play Video||Play||Mute||Current Time|0:00|/|Duration|0:08|Loaded: 75.08%|Loaded|75.08%|Stream Type||Seek to live, currently behind live|LIVE|Remaining Time|-|0:08||Playback Rate||Chapters||Descriptions|descriptions off|, selected||Captions|captions off|, selected||Audio Track|default|, selected||Fullscreen|Rápido, tamanho perfeito, imagem linda, qualidade de áudio, Amei. Chegou muito rápido, recomendo.|",5,Redmi Pad Pro WiFi
JOSE RIBEIRO DE SOUSA,11/20/2024,Fiquei muito feliz com o produto produto altíssima qualidade que superou até mesmo as minhas expectativas muito agradável fácil de usar enfim bom em todos os sentidos|,5,Redmi Pad Pro WiFi
juze87,12/1/2024,"Só não enviou o cabeça do carregador certo, mas a entrega foi super rápida|",4,Redmi Pad Pro WiFi
Geronimo|Geronimo,11/13/2024,Perfeito novo top|,5,Redmi Pad Pro WiFi
Carlos Eduardo,12/13/2024,Cumpre o que promete e a entrega foi muito rápida|,5,Redmi Pad Pro WiFi
Tamires|Tamires,10/29/2024,Sem dúvidas a melhor compra!|,5,Redmi Pad Pro WiFi
Breno Vinci,10/8/2024,"Tablet muito bom mesmo, estava com espectativa boas, mas superou! Entrega rápida demais também!|",5,Redmi Pad Pro WiFi
Jorge Moriyoshi Miyazato,7/28/2024,"Gostei do tablet, da tela de 12"", da qualidade da imagem e do som.Escolhi essa marca e esse modelo para assistir filmes, vídeos e ouvir músicas.Estou curtindo muito e recomendo.|",5,Redmi Pad Pro WiFi
Thiago Viana Pereira,8/14/2024,Entrega via SEDEX super rápida!Recomendo!|,5,Redmi Pad Pro WiFi
Alvaci Geraldino,7/5/2024,"Ótimo, entrega rápida e entes do prazo . Recomendo.|",5,Redmi Pad Pro WiFi
Ryan S.|Ryan S.,8/10/2024,"Hello, this is my first review on Amazon. This review comes courtesy of a longtime Samsung user. Included is a picture of my S9 FE+ 256GB next to my second S6 Tab Lite (I lost the first one ;( ) shot on a S20 FE 5G. I will be comparing to my S6 Tab Lite. I really like the S6 Lite. I got it for $200 at Walmart (for both S6's). For comparison, I was given a Nexus 7 back in 2012, which was also purchased for $200. The Nexus is now 12 yo, and barely works. Using the S6 has been awesome. It's only chugged during intensive moments in gaming, and it only froze for a second or two. With three times the RAM as the S6, I don't think I'll have any problems for a long time.nThe size of the S6 Tab Lite is a lot more manageable for me. I could use it (the S6) one handed if I was only really using one half of the screen. I definitely can't with this! That being said, as somebody who's working on an engineering undergrad degree, I found the screen of the S6 too small. This screen feels big enough to use on most days. And with 256 GB instead of 64 GB, I can have games and lots of notes.A few notes: the S9 pen is a bit thicker and has a smaller button than the S6 pen. Second, I was getting better rear photos on the S6 than the S9, I don't know why. I hope it's user error. I'll update you on that. Finally, the S6 feels slimmer in my hand even though they're the same thickness, thanks to the S6 having rounded corners versus the sharper/more upright edges on the S9.Conclusion: For relaxation, the S6 is better, assuming you're not playing hard-core games (it ran fine on Honkai ... on the lowest settings). For work, the extra real estate pays dividends and with a good keyboard case, should be good to replace the laptop most of the time.Proper Review:When I wrote this originally, I didn't have the Samsung portfolio case. I left a review there about a month ago. (Short and sweet: It's very expensive, but it's also perfectly suited to what I need from this device. Backlighting would be nice, but I don't find it to be as much of an issue as I did a month ago.) Update on the camera: I think I smudged up the camera when grabbing the first time. I took a picture of an outdoor scene, and although it wasn't sharp, it wasn't really fuzzy either. I haven't done a side-by-side comparrison with the S6 Lite though. I'll update this update if I determine that smudges weren't the cause of the picture quality deficit.I learned about more software features, like RAM+ and wireless mirroring. In options, it gives the ability for up to 8 GB of virtual RAM. However, I also noted that 4 GB of RAM+ was selected and turned on by default. When I turned it off, it still showed up as 12 GB. Hopefully, this means I can have 20 GB of RAM, although I can't possibly imagine I'd need that many. I've noticed that the tablet seems to use at minimum around 4-5 GB of RAM. Makes me wonder how the S6 Lite manages to run Honkai Star Rail. I've seemed to have more performance issues in games than the S6 on higher settings, but the battery life is much better. It feels like this will never die! The S6 could only do 3-4 hours of gaming, but this can do much more, I think atleast twice as much, maybe triple? This also has faster charging speeds. Let me demonstrate the battery life. I have 1hr 15 minute classes. With note-taking almost the entire time, this went down 7%. At that rate, that's probably almost 16 hours of on-screen time!This tablet really is something special, especially with the portfolio case. It's small enough that I feel comfortable walking a mile to class with this in my hands (in a 13' Macbook case lol), and it's big enough that I can get work done on it - as long as I'm not constantly switching tabs. Windows is better for rearranging tabs, although Samsung provides more freedom - I just don't find that freedom useful personally. I still stand by my opinion that gaming is easier on the smaller screen - I accidentally pressed the accelerator in RR3 numerous times on the S9 FE+, but that never happened on the S6 Lite.Anyways, that's it for me. I'd highly recommend getting the extra RAM, especially if you're like me who was raised to use stuff until it falls apart. If you're a student, I couldn't recommend this tablet more strongly.",5,Galaxy Tab S9 FE+
4 Lil Lambs,11/1/2024,"I absolutely love this brand's tablets. This is my second one. But probably the fourth tablet for my family to purchase. First one lasted almost three and a half years before I had trouble with it. Then another five before it gave up the ghost.I love the upgrade of the pen. This was my one big reason with go with another samsung over say a fire. And I was thrilled with how well this tablet handled my artwork.Since getting I've been on it a lot. I love the bigger screen (In comparison to my phone) The high speed under which it works.If I could change or improve this, I don't think I would. The pen was my main complaint in the past, but I am thrilled on how they included, and upgraded it and how smoothly it works.",5,Galaxy Tab S9 FE+
