Username,Date,Reviews,Rating
Ethan|Ethan,3/10/2023,"As soon as I took it out of the box, I could tell it was a used phone. It had major scuffs on the corner aswell as around the charge port. I bought one that was supposed to be ""excellent condition"" which I thought would be like new. But it's apparent this one belongs in the ""acceptable"" category. Of course a used phone isn't gonna be perfect, but this one isn't exactly excellent condition. I'm going to put a case around it anyway, so those scuffs won't matter to much to meThe screen looks like it was replaced due to it being scratch free and it had a plastic film over it. My main concern is it might lack it's original waterproof capability because of that, unless the restorer used an OEM seal when applying the new screen.Overall, the phone works really well and there is absolutely no problems using it. I think its a great deal for a phone that is still relatively new and has a lot of life left. I like that it came with a charger in the box. The only reason I give it 3 stars is because of the misleading ""great condition"" factor. It also had lots of software updates to download the first couple days of use.",3
Mona Edwards,3/11/2023,Battery life is poor. I have to charge 2x a day. I know it's a refurbished phone but thought it would have new battery. I don't believe it does. Other than that it's great.,4
TERRENCE MCD,3/16/2023,Phone was in great shape and condition. But couldn't connect to any wifi service or Bluetooth.,4
Elizabeth Greer,3/17/2023,"Bought this phone for my husband since he loves Samsung products and uses it with his Samsung watch 4. I even bought a rugged case with built in screen protector for it and after 5 months cellular service is always interrupted even after resetting of network and phone back to factory settings. Cannot make calls or receive calls or emails. Same way with Wi-Fi. Cell service is with cricket and have no problems with cricket at all. But then it comes up with AT&T on occasions but have no service with ATT. My Wi-Fi is good and no issues with service or modem. Cricket customer service shows everything working on their end and all numbers show current for their protocols. Don’t know what is wrong with it. Told me I should take ir to a cell phone repair store to see what they may can find out but it would cost more to fix than get a new one. So, it looks like I will be purchasing yet another phone for my husband si he can make and receive calls and email. It just sucks that it didn’t last as long as his other phone did, and reason we bought this one is because his screen and lcd screen was cracked and could not be fixed.",1
David,3/20/2023,Good phone. Great camera. Bought it because it was water resistant.  Had trouble with the phone set up for text messages and my Samsung account but now I'm good. Really a pain.  Battery life is adequate. Paid $288 so it is good value.,4
E-Man,3/20/2023,"I did a lot of research for a replacement for my old S8 and teh S21 FE looked like a good choice. It is.The phone was a refurbished one and I have to say it was like new. The battery is a bit off what reviews state a new S21 should be but it is a refurb which was clearly advertised to be ""At least"" 80% of new so it is as described.The worst thing of the S21 compared to the S8 is the camera. The S8 camera is excellent but the S21 is pretty bad (when I've been use to the S8 quality for years). It is actually tempting to get a new screen from my S8 and toss the S21 due to the really obvious poor quality of teh S21 camera. This is a Samsung issue though.The vendor: Accurate description, Excellent product and fast deliverySamsung: Cop on and bring back the S8 camera!",5
Kate,3/23/2023,"I will say right off the bat, this is probably the way I will buy phones from here on out. It is a great deal cheaper, and I am happy with my purchase. I paid $218 for a one-year old flagship phone.I selected an ""excellent"" condition phone. It came with a glass screen protector, which disrupted the AMOLED display, so I removed it, and noticed a couple of larger scratches that were imperceptible with the protector on. This is not quite according to the description, which is partially why I have my review at a 4-star.The only other issue I have had is battery life. I believe that this phone is running at about 80% battery health. I am a *very* heavy user, and so I have to run the phone with battery saver activated to make it through a full day, but that isn't that huge of a deal. Samsung's battery saver is relatively unobtrusive. However, I may opt for a higher quality renewed phone in the future.Overall, I am very happy with my purchase, and highly recommend this process to others.",4
Chris,3/30/2023,"The Samsung Galaxy S21 FE 5G phone that I received was listed as Excellent...and it surely was!  It truly was in like-new condition with no hints that it had ever been used.  The phone came with a protective plastic file across the back and sides of phone.  As always, I immediately applied a screen protector and Otterbox Commuter case (both sold separately).  Phone shipment was very quick.  I am very happy with my purchase!",5
Darwin|Darwin,4/1/2023,"El Dispositivo En Tema De Pantalla Y Cámaras Venía Muy bien, Pero Tiene 2 Grandes Defectos El Primero es Que Venía Muy Rayado Como Se Puede apreciar en las imágenes el segundo es que no puedo utilizar Mi Tarjeta Sim La Verdad Es Que no tengo idea de por qué el teléfono no reconoce la targeta he comprado dos targetas para probar si era un problema de la targeta y nada no entiendo|",1
Amazon Customer|Amazon Customer,4/7/2023,"excellent condition without any scratches on the screen that is excessively noticeable, it works correctly for the moment I would say that everything is fine",5
Peter Waite,4/8/2023,"Product is good. Scratches on the screen. Other than that it works perfectly. The charger included in the box is not an original Samsung charger and only 10 watts, it gets hot while charging the phone. Other aspects of the phone are as advertised.",4
Subhomoy,4/11/2023,"It has a very good quality camera, thin and light design, and very nice display. The only problem in this phone is battery. You need to charge it twice even if you are a moderate internet consumer.",4
HugoJH,4/12/2023,"El equipo llegó en buenas condiciones (aunque el embalaje me dio temor cuando lo recibi, pues sonaba a que no tenia proteccion, y en efecto solo la caja de la paqueteria y dentro la caja del equipo), solo llegué a notar una muuuy ligera línea en la pantalla y a contraluz. A la primera agarro mi chip de telcel.El equipo parecía ser nuevo, con 2 días de uso va muuuy bien.|",4
Isaac Calderon,4/14/2023,Solo tenia pequeñas imperfecciones en la pantalla pero por todo lo demas excelente.|,4
Michael,4/17/2023,Everything went smoothly from purchasing on line to shipping to my address.  Also choosing a cell phone carrier on this unlocked cell phone when well.,4
Carlos D.,4/25/2023,"El teléfono llegó como nuevo, en la caja Samsung abierta (poco deteriorada) y con 1 cable de datos.Me sorprendió el estado del teléfono, volveré a comprar renovados de Amazon.En cuanto al funcionamiento del teléfono todo muy bien, ahora toca probarlo, si lo devuelvo será porque el teléfono no me guste pero no por su estado.*ACTUALIZACIÓN* He realizado un test de la batería y se encuentra con un porcentaje de salud del 88%,  la batería no dura mucho pero No es por el estado de la batería, muchos usuarios de este teléfono (nuevos y renovados) reportan qué la batería no dura mucho y que hay proceso de 2 semanas para que la ia del teléfono mejore el rendimiento, voy a probar y tendré que valorar si devolverlo o quedármelo.Pero la compra como renovado es excelente.Después de varias cargas el estado de salud de la batería ha subido al 94%|",5
Brittany Carroll,5/9/2023,Bought this phone as a birthday gift for my son. When it came I went to have it hooked up to our cell phone company only to find out that the phone is NOT unlocked. Very disappointing! Now I’m going through all kinds of loops to try to get it unlocked. They should not advertise it as Unlocked when it is not!,2
Mario Antonio,5/9/2023,Good to have,4
Luciano C.|Luciano C.,5/9/2023,"El teléfono me llegó nuevo diría, no tiene marcas ni golpes ni defectos de ningún tipo. Todo funciona bien, le puse un chip de argentina y no tuve problemas de conexión. Lo único que me llego en un color que no fue el que pedí, pero me gustó mas el que me mandaron asi que genial. Producto recomendado y el vendedor también.|",5
Lourdes,5/16/2023,"Aunque tuve un inconveniente con el tema de la liberación el vendedor pudo solucionarme facilitándome el código necesario y funciona perfectamente desde Venezuela, muy satisfecho|",4
Emily,5/17/2023,Like the phone was in great shape when arrived. Only thing is it doesn't come with a voicemail app. Phone doesn't tell you that you have a voicemail either.,4
Maseko Manyise,5/20/2023,"The things that are not good about this phone.~. Battery drains too fast~the phone heats up during use~its not the super phone I expected, not as fast and smooth.~i have resorted to my Google Pixels 4XL, it gives me better of everything I need.",2
Baldman,5/22/2023,"I did not like the fact that not one piece of paper was sent to show me how to set the phone up. I'm 82 years old and if my next door neighbor hadn't had the same model phone I would have been out of luck as I was also sent the wrong charger and my battery was at 12 per cent. After getting charged from my neighbor, I took the phone to my A.T.& T store and a young man there worked for quite a while helping me out. The phone itself is great, I just am P.O.'D that no paper work came with it and the wrong charger was sent. I bought the right charger at the A.T.& T. store.",2
mcdrrt,5/25/2023,I had a technical problem with the phone.  The seller replaced it without a problem,5
Miguel Landon|Miguel Landon,5/31/2023,"|The media could not be loaded.|La verdad es el 2do equipo reacondicionado de Amazon y la verdad me llevé un muy mal sabor de boca con él, lo voy a devolver la estética del equipo es de 8.5/10 tiene ligeros rayones en la tapa trasera y las cámaras se ven todas rayadas. En general el equipo vino en muy malas condiciones estéticos en funcionamiento todo está bien, pero la estética no es su punto más fuerte|",3
sergio,6/4/2023,Alguno que otro raspón pero en buen estado|,4
Brenda Diane P Jenkins,6/4/2023,"Don't waste money on new. Same value, same warranty as new.",5
Lalo,6/15/2023,"Lllegó intacto y es un buen producto, como nuevo|",4
Chris Maxwell,6/17/2023,"Bought this phone from these guys after months of surfing, digging and review readings. Lol. Needless to say, I for real don't see how it could have ever been used. Has to of been brand new. Love the phone. Only thing I'm upset about is the phone not having the wifi calling option enabled with my current carrier. Other than that though great purchase. Definitely would recommend getting a phone from these guys.",5
Amazon Customer,6/19/2023,"Waited to write review to see how phone would operate after using for a couple of months.I am very pleased with the phone and have had no problems at all.The phone looked and operated like a brand new phone, so if you feel a little skeptical as I was, trust me and get it , you will not be disappointed .",5
TERRIBLE,6/20/2023,I bought a phone from this person and 1-the phone had A LOT of scratches and 2-The SIM card reader didn’t work. It was unlocked but the SIM card reader wasn’t working so I wasn’t able to use any sim card on it. I WOULD NOT BUY IT AGAIN!!! I don’t understand how can people sell this type of trash on Amazon!!!,1
Roberto PR,6/22/2023,"El equipo llego sin estar desbloqueado por lo que no fue posible que reconociera el SIM de ATT, al igual de que no llego en condiciones excelentes como indican, la parte trasera traia muchos daños visibles a 30 cm del telefono.|",2
Amazon Customer,7/4/2023,I’ve had my phone for couple days now and it’s amazing. The battery last a long time. I was able to just put my att sims card and my service irked just fine. I also transferred everything using the sharing app. I will definitely be buying my cell phones here again. Looked just like NEW !! Thank you,5
Rob junior,7/8/2023,"Love the phone , hated the fact I couldn't get my info off my other phone it was to damaged, so had to reload everything from a new and recover what I could from there, again love this phone",5
Mikel and Sarah,7/18/2023,"Paid extra for ""excellent"". Phone has visible scratches on screen, large scrape on lower left corner. Good phone but not as advertised.",2
Andrey,7/27/2023,"The phone is superb, iPhone users in my family like photos made by the phone better then theirs.",5
Derek,7/31/2023,Half battery used in 4 hrs. Phone will not last 8 hrs under normal use.,3
Alexander peguero,8/2/2023,No issues at all put Sim in and ready to go!Only thing I'll say about phone is the battery is not all that great.,4
Raven D. Miller,8/3/2023,"Needed an upgraded phone for my son before he leaves for college. Phone arrived on time. It was packaged relatively well. Was able to activate it with our carrier (Verizon) with no issue. It did come unlocked (noticed in some of the reviews left that it didn't come unlocked). Reasons I give 4 stars instead of 5 is: I paid a little extra for a refurbished phone in 'excellent condition'. I would say this phone is closer to 'good condition'). It came with a noticeable scratch going across the top of the screen and some blemishes on the side of phone where the power/volume buttons are located. It leaves me wondering what a 'good condition' phone would've looked like and if it would've been worth getting instead for the extra savings. The package came only with the wall charger but no cable. Fortunately, he was able to use his cable from his old device. I was pleased to see that the key to unlock the SIM card slot was in the box. Overall, pleased with the purchase and would more than likely do this again when ready to upgrade device.",4
Grant,8/5/2023,This came a week earlier than was expected. Very happy with that.  The phone is a gift for my son and he likes it.,5
RodWink,8/9/2023,I ordered this Samsung galaxy 21 from this website and I was out of the country for work....I arrived home last week and the phone was there with my other packages...long story short the phone doesn't work properly....you can't make calls...at&t looked at the phone and determined that it was a issue with the phone...now the seller on Amazon will Not give me a refund or exchange...be careful about who you purchase from on Amazon...everyone isn't honest...unsatisfied customer...scams like this should not be happening on Amazon...smdh,1
ET,8/29/2023,"Love the wireless charging feature, first time I tried it. This phone was in like new condition. Just had it a few days, but everything seems to work very well. Also installed a compass app and that is so handy. Works just like a quality mechanical compass. Thanks for a great product!",5
D01-021242,8/29/2023,Debo decir que lo compré un poco asustado porque nunca había comprado teléfonos  reparados pero realmente  es muy buena calidad como nuevo.100% recomendado.|,5
Scott,8/31/2023,"Great phone, I love it. The only thing is the battery is a little short-lived if you are on it a lot. The reviews all say the same thing. It is not this phone it is all of them. In spite of that, I still love it.",5
Jimmy Nuñez,9/3/2023,the phone works great as today,5
Cold in Wyoming,9/8/2023,"I have been buying refurbished phones for years never an issue, mostly universal unlock for all carriers.  This one showed up with no voice mail app, tried to solve finally went to Verizon and they informed me that a lot of times switching carriers, even though it's unlocked some features won't carry over.  Most of us I'm sure use the visual voice mail vs. the clunky dial into Verizon add password go through the prompts yada yada to get your voicemail.",2
Flower Girl,9/21/2023,"I love this phone so far. I bought it and didn't realize I couldn't use an SD card but it's cool because I don't really need one. It arrived quickly and in great condition. After almost a month of use, I'm a happy customer.",5
Roger Webb,9/22/2023,The speaker blew out and failed a few months after getting it. I have to use it on speakerphone. There's a Samsung app store that automatically downloads apps without your permission whether you like it or not.  I could go on for hours but those two points alone are enough to make this my last Samsung device ever,1
Amazon Customer,10/7/2023,"Received a like new condition phone, no complaints!",5
Antony Herrera|Antony Herrera,10/13/2023,|The media could not be loaded.|Compre este teléfono en condición reacondicionado excelente..!!! Y la verdad cumple sus especificaciones el teléfono esta como nuevo no tengo ninguna queja..!!! Muy contento con este producto lo recomiendo 100%  garantizado..!!|,5
Angel salas,10/20/2023,"El tlf tiene una pequeña raya poco visible pero vino bloqueado y lo pedí totalmente liberado, me toca desbloquearlo a mi  pero la atención del vendedor fue buena y llego mucho antes|",4
Anvar Iniyatilla,10/31/2023,"When i last ordered an iphone 11 renewed i got it with 81% bh and it was like 85-90% close to new , some little scratches that cant be seen from distance. But this time with this s21 fe it is a complete jackpot, man i got almost new phone with 99% battery health and there is no scratch or anything complete new, no problems with camera,mic,audio and whatsoever, the only thing i ask to be aware of before buying renewed phones is just strictly read rewiews carefully from sellers, there are different sellers for same phones and dont be sold for less price, there was 235 and 240 bucks option , i went with 240 and hit the jackpot cause i liked 240's seller reputation and will never regret that i didnt save some money before buying, the former one had like average rating, always go for top rating sellers",5
SoulSista,11/1/2023,No issues as of yet. So far so good.,4
Nela,11/9/2023,"Físicamente está muy bien, 3 días de uso hoy 12 de noviembre y la batería no me da confianza, se descarga demasiado aprisa y sin apenas uso. Esperaré 7 días aproximadamente y si no mejora ese tema lo devuelvo. ?? Un móvil con una batería mala no cumple propósito.|",1
Suzanne,11/14/2023,"I could not find a scratch or mark on this phone, so looks brand new. I am coming from Moto G Stylus phone and this took a little bit to get use to the few differences. The touch on the Samsung is not as sensitive as the Motorola but after a few days I had no problems. The connectivity to our Uconnect on truck and my smartwatch was flawless and have stayed connected without any problems. Scrolling is fast and smooth. I would easily recommend this phone.After almost 1 1/2 years I am thrilled with this phone, has updated to latest UI worked flawlessly and has great battery life.. Photos are all I expected. The company was helpful with questions I had, so I still recommend phone and Bay Trading.",5
Amazon Customer,11/15/2023,"Muy buen celular, lo compré para enviarlo a mi hijo. Está muy feliz con su nuevo celular. Se lo recomiendo a todos.|",5
Denise Fry,11/18/2023,"This phone was advertised as unlocked. WRONG it was not. it was for AT&T only and that is not my carrier. I was not going to jump through the hoops and give my credit card number to anyone to get an unlocked code. I just ordered a different phone that was for my carrier only.But on a positive note. The phone looked beautiful, no scratches or blemishes. Turned on right away and seemed like it would have been a good one. But I cannot give a higher rating if it is advertised wrong!",1
ETF Jax,11/20/2023,"I bought it because the ad said 'Unlocked'.  This phone was on the AT&T network, and is not compatible with Xfinity/Verizon networks.  Disappointing.  Returning.The Amazon ad says it would work on any network - it does not.",1
angelina g.,11/20/2023,"Great value and the quality of its performance is on par. Great battery life, especially since i was upgrading from an S8. Little scratches with great sound and video quality.",5
Gisel V.,11/25/2023,Excelente. It work like new Phone. I'm happy.,5
ISRAEL,11/26/2023,El teléfono esta en buena condición pero no esta desbloqueado como dice la publicación. Se requiere código para desbloquear|,3
sanbuddy,11/28/2023,Incorrect Product description and waste of time and effort. Phone is locked.It doesnt show SIM card manager in settings. Dont buy this useless product.,1
stephenmuto,12/1/2023,The product is great but the device is owned by a company that is controlling it and won't allow you to do specific things such as make a samsung account nothing to do with device just amazon product testers truly test the product please ??,3
Andrew Pavlik,12/7/2023,"Phone was unlocked, and in generally good condition, but it booted with a T-Mobile (GSM) splash screen, and Verizon confirmed it was not capable of being registered on their network despite being advertised as Verizon compatible. I thought it was working until I left my wi-fi network and found out I had no data, etc. Very disappointing.",1
Luis M. Marcano,12/27/2023,"If you are looking to jump from the A series, this is a great deal. Refurbished for a third of the price of a new one. Phone looks like new but comes in a generic box, that's it. For all details on the better features check youtube.",5
Todo excelente. Gracias,12/27/2023,Me encantó|,5
Ron R,12/29/2023,"1. Called Amazon about issues, Amazon told me to contact the vendor.  Vendor shows in responses that customers are supposed to call Amazon.  This phone is ""Amazon Renewed"" so Amazon should have been responsible.2. Phone was supposed to be ""Unlocked"" but it powered up showing the ATT logo.3. ATT phone complained when I tried to insert a T-Mobile SIM card.4. wireless charging on my new car is intermittent5. WIFI calling at home does not work.  T-Mobile could not figure it out.6. When taking pictures, camera some times shows: Camera Failed7. Cable supplied does not allow fast charging (9V charging)8. Charger heats up and shuts off when doing Fast Charging.Phone returned for refund.  I hope this vendor is enjoying seeing 10% of the phones they sell being returned.",1
Connie. Rosenbaum,1/3/2024,"THE PHONE HAS A LOT OF SCRATCHES ON THE SCREEN! HOOK THE PHONE UP & IT'S DOING GOOD & CHARGING GOOD.I HAVE NEVER BOUGHT ANY PHONE USED THAT HAS COME WITH SCRATCHES ON IT. NOT HAPPY ABOUT THAT FOR THE PRICE I PAID FOR IT. SENDING MY OLD PHONE BACK TO YOU SO YOU CAN CREDIT MY AMAZON ACCOUNT . I DO THINK I SHOULD GET THAN YOU SAID I'M GETTING BACK..I HAVE OCD & I LIKE MY STUFF TO BE LIKE YOU SAY IT IS& NOT LIE ABOUT IT.SO I'M STUCK WITH IT FOR A WHILE BECAUSE I CAN'T AFFORD ANOTHER ONE. I WOULD TAKE A PICTURE OF IT BUT I DON'T HAVE ANY WAY TO DO THAT. BELIEVE ME I'M DEFINITELY NOT LYING OR TRYING TO MAKE YOU LOOK BAD.. I'M JUST TELLING YOU THE TRUTH. THANK YOU..YOUR PHONE DIDN'T LAST 3 MONTHS BEFORE IT STOP WORKING LATELY COMPLETELY.. ASK FOR ANOTHER SIM CARD & IT DIDN'T WORK,WAS TOLD TO PUT MY OLD ONE BACK IN AND DIDN'T WORK .TOOK IT TO A VERIZON STORE WHERE HE TRIED A 2ND SIM CARD & IT DIDN'T WORK.. I HAD TO GET A DIFFERENT PHONE & WAS WITHOUT A PHONE FROM FRIDAY TILL TUES  .I AM 67 YRS OLD & HAVE CANCER . I HAVE A SPECIAL NEEDS SON IF NOT FOR MY HOUSE PHONE HE COULDN'T HAVE GOT A HOLD OF ME..YOU SHOULD BE ASHAMED OF YOURSELF AND REFUND ALL MY MONEY BACK.. THIS HAS TAUGHT ME AT MY AGE PEOPLE STILL CAN'T BE TRUSTED .I FEEL SORRY FOR YOU BECAUSE YOUR DAY WILL COME WHEN SOMEONE LIES TO YOU AS SOMETHING & AS MUCH AS IT COST I SHOULD GET ALL MY MONEY REFUNDED TO ME ..I HOPE NO ONE ELSE BUYS ANYTHING OFF OF YOU",3
Amanda,1/9/2024,Item arrived well packaged with all contents. Phone looks 100% new and happy with it!,5
David H,1/14/2024,Was delivered as promised. Condition was great. Was able to get activated with no problem.,5
Greenluv,1/21/2024,"Fast, easy to use. Would definitely recommend this phone. Have had for several months now and no complaints",5
Adriel Cardenas,1/22/2024,El teléfono por afuera está en excelentes condiciones parece nuevo sin embargo la funcionalidad deja mucho que desear. En mi caso la batería no alcanzaba para un día. Y adicional la señal (datos) a cada rato me decía que estaba desconectado.|,3
Nathan|Nathan,1/26/2024,"The charge does not work right out of the box, and the box came delivered damaged inside the delivery box... I would be weary of ordering an Amazon renewed phone again...if you are Canadian, I also ordered a phone from Orchard in GTA... I got my order through Canada Post in less than 48hrs, the customer service is excellent, and the phone works perfectly. I recommend them as a first choice.",3
